,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
154,15,LSC,0.9601731601731602,0.0113093943529118,0.9683982683982684,0.0084664966301332,0.97012987012987,0.007713649212643,0.9688311688311688,0.0049830581961997,0.9696969696969696,0.0076526707920622,0.97012987012987,0.00897681443867,0.9701298701298702,0.0035566399837997,0.9727272727272728,0.0062358702557956,0.9722943722943724,0.0118949191896399,0.9709956709956712,0.009871648702157
504,50,LSC,0.9575757575757576,0.0129508877070576,0.9727272727272728,0.0074353091070639,0.9744588744588744,0.0072438097535418,0.9731601731601732,0.0056443310867555,0.9748917748917748,0.0060451255600731,0.9748917748917748,0.004488407219335,0.974025974025974,0.0061221366336497,0.9753246753246751,0.0052128115059706,0.9757575757575758,0.007713649212643,0.9757575757575758,0.0067413036806915
1004,100,LSC,0.9597402597402598,0.0119145964887644,0.9748917748917748,0.0072760763263946,0.9753246753246751,0.0071132799675995,0.9748917748917748,0.0056443310867555,0.9748917748917748,0.0066008444510722,0.9744588744588744,0.0049358243510784,0.974025974025974,0.0050762075322763,0.9761904761904764,0.0063105539987502,0.9774891774891776,0.0042193914912593,0.9766233766233766,0.0060062497513037
1504,150,LSC,0.9593073593073594,0.01337795423408,0.9744588744588744,0.0061981909364832,0.974025974025974,0.0068447568401913,0.9744588744588744,0.0051676780893131,0.9748917748917748,0.0066008444510722,0.9748917748917748,0.0069466694960524,0.974025974025974,0.0050762075322763,0.9757575757575758,0.0067413036806915,0.9766233766233766,0.0056026749374652,0.9761904761904764,0.0043290043290043
1994,199,LSC,0.9606060606060606,0.0119929828373983,0.9757575757575758,0.0058079687727267,0.9748917748917748,0.0056443310867555,0.9753246753246751,0.0054328573151563,0.9735930735930736,0.007713649212643,0.9761904761904764,0.0063105539987502,0.974025974025974,0.0055184193870051,0.9757575757575758,0.0058079687727267,0.9748917748917748,0.0069466694960524,0.9774891774891774,0.0052128115059707
155,15,N1,0.9653679653679652,0.0057267344395337,0.9735930735930736,0.0074037365266177,0.9705627705627704,0.0074353091070639,0.97012987012987,0.0081564691261544,0.9714285714285716,0.0074037365266177,0.9683982683982684,0.0103353561786262,0.9705627705627704,0.0067759635681812,0.9709956709956712,0.0064209510710785,0.9688311688311688,0.0058481628078382,0.9714285714285712,0.0070802715297818
505,50,N1,0.964935064935065,0.0065652601247199,0.9735930735930736,0.0080115824776284,0.9692640692640692,0.0063843641574686,0.967965367965368,0.0085764557385969,0.9727272727272728,0.0060451255600731,0.971861471861472,0.0083830808359468,0.9722943722943724,0.0084387829825186,0.971861471861472,0.0071788415375658,0.9709956709956712,0.0069466694960525,0.9709956709956712,0.0090028720099937
1005,100,N1,0.9653679653679652,0.0066714437261568,0.9735930735930736,0.0067413036806915,0.97012987012987,0.0056026749374652,0.9709956709956712,0.0087388005360114,0.971861471861472,0.0063105539987503,0.9727272727272728,0.0084664966301333,0.9735930735930736,0.0072438097535417,0.971861471861472,0.0080988255124977,0.9722943722943724,0.0056026749374652,0.9735930735930736,0.0070802715297818
1505,150,N1,0.9653679653679652,0.0068447568401913,0.974025974025974,0.0064935064935065,0.9714285714285712,0.0065652601247199,0.9705627705627704,0.0090028720099936,0.971861471861472,0.0073401839644212,0.9722943722943724,0.0080115824776284,0.971861471861472,0.0090547621919272,0.9714285714285716,0.0080115824776284,0.9727272727272728,0.0062358702557956,0.9735930735930736,0.0060062497513037
1995,199,N1,0.9658008658008658,0.0080115824776284,0.9735930735930736,0.0070802715297819,0.971861471861472,0.0066714437261569,0.9709956709956712,0.0090028720099937,0.971861471861472,0.0076526707920622,0.9722943722943724,0.0074037365266177,0.9722943722943724,0.0074037365266177,0.9709956709956712,0.0087388005360114,0.9722943722943724,0.0061981909364832,0.9731601731601732,0.0064209510710784
156,15,N2,0.9515151515151516,0.0102214016910108,0.9688311688311688,0.0056443310867555,0.9670995670995672,0.0097282272962096,0.9722943722943724,0.0041635030436517,0.9744588744588744,0.0109729799615901,0.9696969696969696,0.0061221366336497,0.9714285714285712,0.0049358243510785,0.9722943722943724,0.010312666016945,0.9696969696969696,0.0083830808359467,0.9735930735930736,0.0056026749374652
506,50,N2,0.9558441558441558,0.0118158823064555,0.9744588744588744,0.0023710933225331,0.9744588744588744,0.007713649212643,0.9727272727272728,0.0058481628078382,0.9757575757575758,0.0056026749374653,0.974025974025974,0.0063105539987503,0.9744588744588744,0.007713649212643,0.9774891774891774,0.0067759635681811,0.9722943722943724,0.0078640268937597,0.9766233766233766,0.0041635030436518
1006,100,N2,0.9554112554112552,0.0104480678667941,0.9748917748917748,0.0039320134468798,0.9735930735930736,0.0067413036806915,0.9744588744588744,0.0089768144386699,0.9748917748917748,0.0074353091070639,0.9761904761904764,0.0073401839644212,0.9753246753246751,0.0071132799675995,0.9774891774891774,0.0062358702557956,0.9744588744588744,0.0070802715297818,0.9770562770562772,0.0056443310867555
