"",n_ensemble,compl_measure,winning_datasets
48,200,TD_U,"[titanic, liver-disorders, sonar, bupa, diabetes, chatfield_4, contraceptive_NL, wdbc, ilpd, yeast1, Yeast_CYTvsNUC, spectfheart]"
49,200,CLD,"[vertebral_column, titanic, liver-disorders, credit-g, teaching_assistant_LH, spambase, diabetes, parkinsons, profb, pima, contraceptive_NL, wdbc, fri_c0_250_50, ilpd, spectfheart, contraceptive_LS, ionosphere]"
50,200,N1,"[titanic, sonar, credit-g, WineQualityRed_5vs6, spambase, diabetes, parkinsons, breast-w, sylvine, chatfield_4, phoneme, contraceptive_NL, wdbc, contraceptive_NS, fri_c0_250_50, ilpd, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, ionosphere, diabetic_retinopathy]"
51,200,N2,"[vertebral_column, saheart, titanic, liver-disorders, sonar, credit-g, parkinsons, sylvine, profb, chatfield_4, pima, contraceptive_NL, wdbc, contraceptive_NS, ilpd, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, ionosphere, diabetic_retinopathy]"
52,200,LSC,"[vertebral_column, titanic, liver-disorders, credit-g, bupa, diabetes, parkinsons, sylvine, profb, chatfield_4, wdbc, yeast1, Yeast_CYTvsNUC, bands, contraceptive_LS, diabetic_retinopathy]"
53,200,F1,"[ring, vertebral_column, liver-disorders, sonar, teaching_assistant_LH, parkinsons, wdbc, arrhythmia_cfs, teaching_assistant_LM, ilpd, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, spectfheart, ionosphere]"
54,250,Hostility,"[saheart, titanic, sonar, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, diabetes, parkinsons, vehicle2, chatfield_4, contraceptive_NL, contraceptive_NS, teaching_assistant_LM, ilpd, yeast1, bands, spectfheart, diabetic_retinopathy]"
55,250,kDN,"[saheart, titanic, liver-disorders, credit-g, spambase, diabetes, parkinsons, sylvine, profb, chatfield_4, phoneme, contraceptive_NL, wdbc, ilpd, yeast1, hill_valley_without_noise_traintest, bands, spectfheart, diabetic_retinopathy]"
56,250,DCP,"[teaching_assistant_MH, saheart, titanic, liver-disorders, sonar, credit-g, bupa, teaching_assistant_LH, parkinsons, mammographic, chatfield_4, contraceptive_NL, wdbc, contraceptive_NS, arrhythmia_cfs, ilpd, glass1, bands, contraceptive_LS]"
57,250,TD_U,"[ring, saheart, titanic, sonar, credit-g, bupa, teaching_assistant_LH, diabetes, vehicle2, chatfield_4, contraceptive_NL, wdbc, teaching_assistant_LM, ilpd, yeast1, Yeast_CYTvsNUC, bands, spectfheart]"
58,250,CLD,"[liver-disorders, credit-g, teaching_assistant_LH, diabetes, parkinsons, profb, vehicle2, pima, contraceptive_NL, wdbc, ilpd, glass1, ionosphere]"
59,250,N1,"[saheart, titanic, credit-g, bupa, WineQualityRed_5vs6, spambase, diabetes, parkinsons, breast-w, vehicle2, chatfield_4, contraceptive_NL, wdbc, contraceptive_NS, ilpd, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, ionosphere, diabetic_retinopathy]"
60,250,N2,"[saheart, titanic, liver-disorders, credit-g, parkinsons, sylvine, profb, contraceptive_NL, wdbc, contraceptive_NS, ilpd, yeast1, hill_valley_without_noise_traintest, bands, diabetic_retinopathy]"
61,250,LSC,"[titanic, liver-disorders, credit-g, spambase, diabetes, parkinsons, breast-w, sylvine, profb, chatfield_4, contraceptive_NL, wdbc, contraceptive_NS, yeast1, hill_valley_without_noise_traintest, bands, spectfheart, contraceptive_LS, diabetic_retinopathy]"
62,250,F1,"[ring, teaching_assistant_MH, titanic, sonar, credit-g, bupa, teaching_assistant_LH, parkinsons, wdbc, arrhythmia_cfs, teaching_assistant_LM, ilpd, yeast1, hill_valley_without_noise_traintest, bands, spectfheart, ionosphere]"
63,300,Hostility,"[saheart, titanic, liver-disorders, sonar, teaching_assistant_LH, WineQualityRed_5vs6, diabetes, parkinsons, breast-w, vehicle2, chatfield_4, contraceptive_NL, contraceptive_NS, glass0, teaching_assistant_LM, ilpd, yeast1, hill_valley_without_noise_traintest, bands, ionosphere]"
64,300,kDN,"[saheart, titanic, liver-disorders, credit-g, spambase, diabetes, parkinsons, sylvine, chatfield_4, phoneme, contraceptive_NL, wdbc, glass0, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, diabetic_retinopathy]"
65,300,DCP,"[teaching_assistant_MH, saheart, titanic, liver-disorders, sonar, credit-g, bupa, teaching_assistant_LH, parkinsons, mammographic, chatfield_4, contraceptive_NL, wdbc, arrhythmia_cfs, fri_c0_250_50, ilpd, glass1, bands]"
66,300,TD_U,"[teaching_assistant_MH, saheart, titanic, liver-disorders, sonar, bupa, teaching_assistant_LH, diabetes, chatfield_4, contraceptive_NL, wdbc, fri_c0_250_50, glass0, ilpd, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, spectfheart, ionosphere]"
67,300,CLD,"[saheart, liver-disorders, credit-g, teaching_assistant_LH, spambase, diabetes, parkinsons, profb, contraceptive_NL, wdbc, fri_c0_250_50, ilpd, glass1, contraceptive_LS, ionosphere]"
68,300,N1,"[titanic, liver-disorders, credit-g, bupa, spambase, diabetes, parkinsons, breast-w, sylvine, contraceptive_NL, wdbc, contraceptive_NS, fri_c0_250_50, glass0, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, ionosphere, diabetic_retinopathy]"
69,300,N2,"[saheart, titanic, liver-disorders, credit-g, diabetes, parkinsons, breast-w, sylvine, phoneme, contraceptive_NL, wdbc, contraceptive_NS, glass1, yeast1, hill_valley_without_noise_traintest, bands]"
70,300,LSC,"[saheart, titanic, liver-disorders, credit-g, bupa, spambase, diabetes, parkinsons, breast-w, sylvine, profb, contraceptive_NS, fri_c0_250_50, glass0, glass1, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, diabetic_retinopathy]"
71,300,F1,"[ring, teaching_assistant_MH, sonar, bupa, parkinsons, breast-w, contraceptive_NL, wdbc, fri_c0_250_50, glass0, teaching_assistant_LM, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, spectfheart, ionosphere]"
