dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
saheart.csv,0,10,wagging,None,auc,0.6048387096774194,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,AdaBoost,None,acc,0.6382978723404256,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,AdaBoost,None,f1,0.6408134360698016,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,AdaBoost,None,auc,0.6048387096774194,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.7446808510638298,"[array([[26,  5],
       [ 7,  9]])]"
saheart.csv,0,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.6060067838421216,"[array([[26,  5],
       [12,  4]])]"
saheart.csv,0,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",auc,0.6532258064516128,"[array([[25,  6],
       [ 8,  8]])]"
saheart.csv,0,10,Incremental_Mixed_Bagging,"[[-4.0, 3.0]]",acc,0.7872340425531915,"[array([[28,  3],
       [ 7,  9]])]"
saheart.csv,0,10,Incremental_Mixed_Bagging,"[[-4.0, 3.0]]",f1,0.7401595744680851,"[array([[26,  5],
       [ 7,  9]])]"
saheart.csv,0,10,Incremental_Mixed_Bagging,"[[-4.0, 3.0]]",auc,0.6219758064516129,"[array([[25,  6],
       [ 9,  7]])]"
saheart.csv,1,10,base,None,acc,0.5319148936170213,"[array([[20, 11],
       [11,  5]])]"
saheart.csv,1,10,base,None,f1,0.5319148936170213,"[array([[20, 11],
       [11,  5]])]"
saheart.csv,1,10,base,None,auc,0.47883064516129037,"[array([[20, 11],
       [11,  5]])]"
saheart.csv,1,10,wagging,None,acc,0.7021276595744681,"[array([[25,  6],
       [ 8,  8]])]"
saheart.csv,1,10,wagging,None,f1,0.6968528368794326,"[array([[25,  6],
       [ 8,  8]])]"
saheart.csv,1,10,wagging,None,auc,0.6532258064516128,"[array([[25,  6],
       [ 8,  8]])]"
saheart.csv,1,10,AdaBoost,None,acc,0.6170212765957447,"[array([[22,  9],
       [ 9,  7]])]"
saheart.csv,1,10,AdaBoost,None,f1,0.6170212765957448,"[array([[22,  9],
       [ 9,  7]])]"
