,Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
25778,contraceptive_NS,4,1,F1,0.6647276084949215,0.6657894736842105,0.0042025890441432,0.665 (0.004)
43743,contraceptive_NS,8,1,Hostility,0.667590027700831,0.6657894736842105,0.0059957470721269,0.668 (0.006)
63706,contraceptive_NS,6,8,LSC,0.6554478301015697,0.656140350877193,0.0057191887252607,0.655 (0.006)
9689,contraceptive_NS,2,1,N1,0.6577100646352724,0.6570175438596492,0.003885468171583,0.658 (0.004)
53673,contraceptive_NS,4,8,N2,0.6559095106186519,0.6570175438596492,0.0032407648467766,0.656 (0.003)
53674,contraceptive_NS,4,8,TD_U,0.657202216066482,0.6578947368421053,0.0035158183068401,0.657 (0.004)
9692,contraceptive_NS,2,1,kDN,0.6606186518928902,0.6614035087719298,0.0032282441373227,0.661 (0.003)
20556,credit-g,2,2,CLD,0.772842105263158,0.7729999999999999,0.0066270754224598,0.773 (0.007)
37720,credit-g,6,8,DCP,0.7746315789473684,0.775,0.0060111981271603,0.775 (0.006)
40529,credit-g,2,8,F1,0.7649473684210527,0.767,0.0054106241600365,0.765 (0.005)
22017,credit-g,4,6,Hostility,0.7704210526315789,0.771,0.0050587195291747,0.77 (0.005)
20560,credit-g,2,2,LSC,0.7603157894736842,0.761,0.0049447236927517,0.76 (0.005)
28310,credit-g,4,8,N1,0.7696842105263159,0.77,0.0036370414041414,0.77 (0.004)
12633,credit-g,10,2,N2,0.7678421052631579,0.767,0.0071279041480549,0.768 (0.007)
37438,credit-g,6,1,TD_U,0.7718947368421053,0.772,0.0029607569760695,0.772 (0.003)
36845,credit-g,6,2,kDN,0.771578947368421,0.773,0.0039765393870897,0.772 (0.004)
45612,diabetes,4,6,CLD,0.7756655394467029,0.7785201640464798,0.0071129184234307,0.776 (0.007)
25471,diabetes,4,4,DCP,0.7615255243371587,0.7629528366370473,0.0034667867929188,0.762 (0.003)
48017,diabetes,2,4,F1,0.7660143180918805,0.7668318523581682,0.0063516574093043,0.766 (0.006)
14295,diabetes,6,8,Hostility,0.7645995970788215,0.7642515379357485,0.0045658134412604,0.765 (0.005)
58351,diabetes,4,8,LSC,0.768724142893118,0.7694634313055366,0.0039361982140404,0.769 (0.004)
11714,diabetes,2,2,N1,0.7679848544806994,0.769395078605605,0.0038929521698538,0.768 (0.004)
46959,diabetes,2,6,N2,0.7693240277727813,0.7694634313055365,0.0043878222594281,0.769 (0.004)
47545,diabetes,10,8,TD_U,0.7666097060833903,0.766866028708134,0.0050460293774509,0.767 (0.005)
25478,diabetes,4,4,kDN,0.767772601359859,0.7681818181818182,0.0047649101661153,0.768 (0.005)
58887,diabetic_retinopathy,10,1,CLD,0.6959153318077803,0.6967991004497751,0.0088871240355493,0.696 (0.009)
7867,diabetic_retinopathy,6,6,DCP,0.6843209973960388,0.6845802098950525,0.0044063873660859,0.684 (0.004)
38909,diabetic_retinopathy,6,8,F1,0.6823944606644047,0.6819790104947526,0.0071956110554294,0.682 (0.007)
58035,diabetic_retinopathy,4,1,Hostility,0.7055495936242405,0.7063343328335832,0.0050955952789078,0.706 (0.005)
16663,diabetic_retinopathy,6,4,LSC,0.6924540361398248,0.6958620689655173,0.0075996484931808,0.692 (0.008)
62690,diabetic_retinopathy,2,8,N1,0.6921975854178174,0.694160419790105,0.007287254492652,0.692 (0.007)
64959,diabetic_retinopathy,4,8,N2,0.6898074646887082,0.6906746626686657,0.0056887744799144,0.69 (0.006)
55492,diabetic_retinopathy,4,6,TD_U,0.6830620216207686,0.6837406296851574,0.0065989176727514,0.683 (0.007)
12590,diabetic_retinopathy,6,1,kDN,0.6955310502643415,0.6958995502248875,0.0047184505987389,0.696 (0.005)
45738,fri_c0_250_50,6,8,CLD,0.7837894736842106,0.784,0.0127522501167807,0.784 (0.013)
12421,fri_c0_250_50,2,6,DCP,0.7658947368421053,0.764,0.0118785274846959,0.766 (0.012)
35066,fri_c0_250_50,2,1,F1,0.7703157894736843,0.772,0.0132205758471782,0.77 (0.013)
65433,fri_c0_250_50,8,4,Hostility,0.7932631578947369,0.796,0.0108363693451632,0.793 (0.011)
10561,fri_c0_250_50,4,2,LSC,0.7890526315789474,0.792,0.0087271841214711,0.789 (0.009)
9104,fri_c0_250_50,10,1,N1,0.7833684210526316,0.784,0.009166427429095,0.783 (0.009)
9105,fri_c0_250_50,10,1,N2,0.8035789473684211,0.812,0.0242906378615156,0.804 (0.024)
12427,fri_c0_250_50,2,6,TD_U,0.7987368421052632,0.8039999999999999,0.0141139887474297,0.799 (0.014)
18125,fri_c0_250_50,10,2,kDN,0.7821052631578947,0.78,0.0053943873799235,0.782 (0.005)
14778,glass0,2,2,CLD,0.8798587377534745,0.8785714285714284,0.0065579111999203,0.88 (0.007)
56134,glass0,8,8,DCP,0.8787195260879471,0.8831168831168832,0.0085837522218819,0.879 (0.009)
3566,glass0,4,2,F1,0.8905331510594668,0.8924242424242423,0.0091976039542294,0.891 (0.009)
14781,glass0,2,2,Hostility,0.8825814536340852,0.8833333333333334,0.0056963697036484,0.883 (0.006)
47092,glass0,4,8,LSC,0.8804966962861699,0.8835497835497834,0.0050684564174619,0.88 (0.005)
18725,glass0,4,4,N1,0.8777398040555935,0.8785714285714284,0.0054925415450548,0.878 (0.005)
3570,glass0,4,2,N2,0.8792435634540897,0.8785714285714284,0.0038306828654281,0.879 (0.004)
56140,glass0,8,8,TD_U,0.8890293916609706,0.8876623376623376,0.0091397519281257,0.889 (0.009)
27944,glass0,6,6,kDN,0.8791979949874685,0.8787878787878787,0.0050746150642828,0.879 (0.005)
30528,glass1,10,6,CLD,0.8308840282524493,0.8313852813852813,0.0086712418805455,0.831 (0.009)
48358,glass1,4,8,DCP,0.8251310093415356,0.8266233766233766,0.0072810450902956,0.825 (0.007)
17183,glass1,10,1,F1,0.8155160628844839,0.8179653679653679,0.0052842491346152,0.816 (0.005)
36228,glass1,10,4,Hostility,0.8280815675552518,0.8313852813852813,0.0110485867796302,0.828 (0.011)
30532,glass1,10,6,LSC,0.8305650489861016,0.8318181818181818,0.0059939207959468,0.831 (0.006)
43448,glass1,8,6,N1,0.8107655502392345,0.8082251082251082,0.0099827758920619,0.811 (0.01)
31695,glass1,4,1,N2,0.8199248120300752,0.8220779220779221,0.0061074401867966,0.82 (0.006)
36232,glass1,10,4,TD_U,0.8194919115971748,0.8220779220779221,0.0103518316883736,0.819 (0.01)
16235,glass1,8,2,kDN,0.8254044201412623,0.827056277056277,0.0034746163304646,0.825 (0.003)
2061,hill_valley_without_noise_traintest,6,4,CLD,0.6402459372927645,0.6426229508196721,0.0070533019030425,0.64 (0.007)
43975,hill_valley_without_noise_traintest,4,8,DCP,0.6418603241608968,0.644289391681344,0.0072212399619465,0.642 (0.007)
30242,hill_valley_without_noise_traintest,10,1,F1,0.6378065302804498,0.6401503861265411,0.0066711986792841,0.638 (0.007)
10641,hill_valley_without_noise_traintest,8,6,Hostility,0.643637647159492,0.6451022896626474,0.0049353846918554,0.644 (0.005)
49837,hill_valley_without_noise_traintest,2,8,LSC,0.6372699463059491,0.6377184663324753,0.00411469280428,0.637 (0.004)
28958,hill_valley_without_noise_traintest,8,2,N1,0.641540156447208,0.6434290746511313,0.0053868512367311,0.642 (0.005)
12714,hill_valley_without_noise_traintest,4,6,N2,0.6415519220758847,0.6418574718872782,0.0029815853582258,0.642 (0.003)
49795,hill_valley_without_noise_traintest,10,8,TD_U,0.6410463565769864,0.642650047419049,0.00594755004216,0.641 (0.006)
63233,hill_valley_without_noise_traintest,2,2,kDN,0.6402035097226877,0.639344262295082,0.0035772423689227,0.64 (0.004)
49428,ilpd,8,1,CLD,0.7298150093928105,0.7323351482153659,0.0066824963168915,0.73 (0.007)
56638,ilpd,10,1,DCP,0.7291288566243195,0.7288263762855414,0.004013741741661,0.729 (0.004)
30791,ilpd,10,2,F1,0.7291989047027733,0.7288263762855414,0.0055978847572099,0.729 (0.006)
14682,ilpd,10,4,Hostility,0.7247444837138218,0.7253781004234725,0.0064679453639874,0.725 (0.006)
