Dataset,n_trees,model,accuracy_mean,accuracy_std
WineQualityRed_5vs6,295,Grouped_Mixed_Bagging,0.7900358547305112,0.0358701283848828
WineQualityRed_5vs6,295,Incremental_Mixed_Bagging,0.7968482535276429,0.0397487570896577
WineQualityRed_5vs6,300,Grouped_Mixed_Bagging,0.7870113347212584,0.0424271912911113
WineQualityRed_5vs6,300,Incremental_Mixed_Bagging,0.7870055517002081,0.0404393544660026
ionosphere,5,Grouped_Mixed_Bagging,0.908968253968254,0.0477306892353898
ionosphere,5,Incremental_Mixed_Bagging,0.92015873015873,0.0501170210350743
ionosphere,10,Grouped_Mixed_Bagging,0.9059523809523812,0.0487077917749494
ionosphere,10,Incremental_Mixed_Bagging,0.9173809523809524,0.0435286892474828
ionosphere,15,Grouped_Mixed_Bagging,0.9203968253968254,0.0415201505596298
ionosphere,15,Incremental_Mixed_Bagging,0.9232539682539682,0.0480725757284027
ionosphere,20,Grouped_Mixed_Bagging,0.9174603174603174,0.0411475599898911
ionosphere,20,Incremental_Mixed_Bagging,0.925952380952381,0.0469858697660472
ionosphere,25,Grouped_Mixed_Bagging,0.9174603174603174,0.0338954865143851
ionosphere,25,Incremental_Mixed_Bagging,0.9202380952380952,0.0481615918204723
ionosphere,30,Grouped_Mixed_Bagging,0.9088888888888887,0.0498827044432227
ionosphere,30,Incremental_Mixed_Bagging,0.925952380952381,0.0334549934019168
ionosphere,35,Grouped_Mixed_Bagging,0.923095238095238,0.0330686772485079
ionosphere,35,Incremental_Mixed_Bagging,0.9173809523809524,0.0511895533323975
ionosphere,40,Grouped_Mixed_Bagging,0.9288095238095238,0.0361690621692221
ionosphere,40,Incremental_Mixed_Bagging,0.9203174603174602,0.046015322740732
ionosphere,45,Grouped_Mixed_Bagging,0.9173809523809524,0.0435286892474828
ionosphere,45,Incremental_Mixed_Bagging,0.9146031746031744,0.0464512900595724
ionosphere,50,Grouped_Mixed_Bagging,0.9202380952380952,0.0568028908167518
ionosphere,50,Incremental_Mixed_Bagging,0.9202380952380952,0.0462399505945905
ionosphere,55,Grouped_Mixed_Bagging,0.9316666666666666,0.0360224797538849
ionosphere,55,Incremental_Mixed_Bagging,0.9146031746031744,0.0502049214677381
ionosphere,60,Grouped_Mixed_Bagging,0.9288095238095238,0.0385954265929613
ionosphere,60,Incremental_Mixed_Bagging,0.9288095238095238,0.0489554535506588
ionosphere,65,Grouped_Mixed_Bagging,0.925952380952381,0.0407854664138725
ionosphere,65,Incremental_Mixed_Bagging,0.9203174603174602,0.0396634874898678
ionosphere,70,Grouped_Mixed_Bagging,0.9231746031746032,0.0483957815877066
ionosphere,70,Incremental_Mixed_Bagging,0.923095238095238,0.0426516236236374
ionosphere,75,Grouped_Mixed_Bagging,0.9202380952380952,0.0481615918204722
ionosphere,75,Incremental_Mixed_Bagging,0.9116666666666668,0.04754557824427
ionosphere,80,Grouped_Mixed_Bagging,0.9202380952380952,0.0481615918204723
ionosphere,80,Incremental_Mixed_Bagging,0.9288095238095238,0.0489554535506588
ionosphere,85,Grouped_Mixed_Bagging,0.925952380952381,0.0407854664138726
ionosphere,85,Incremental_Mixed_Bagging,0.926031746031746,0.0447720353277834
ionosphere,90,Grouped_Mixed_Bagging,0.923095238095238,0.052212933993317
ionosphere,90,Incremental_Mixed_Bagging,0.9146031746031744,0.0423663847503574
ionosphere,95,Grouped_Mixed_Bagging,0.9173809523809524,0.0593919173695244
ionosphere,95,Incremental_Mixed_Bagging,0.923095238095238,0.048614593331707
ionosphere,100,Grouped_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,100,Incremental_Mixed_Bagging,0.923095238095238,0.038162143628853
ionosphere,105,Grouped_Mixed_Bagging,0.923095238095238,0.0467115915926191
ionosphere,105,Incremental_Mixed_Bagging,0.9173809523809524,0.0341924436804024
ionosphere,110,Grouped_Mixed_Bagging,0.9202380952380952,0.0442349085598531
ionosphere,110,Incremental_Mixed_Bagging,0.923095238095238,0.0381621436288529
ionosphere,115,Grouped_Mixed_Bagging,0.9146031746031744,0.0483645349806048
ionosphere,115,Incremental_Mixed_Bagging,0.923095238095238,0.052212933993317
ionosphere,120,Grouped_Mixed_Bagging,0.9203174603174602,0.0440000458095457
ionosphere,120,Incremental_Mixed_Bagging,0.9231746031746032,0.0464838227751698
ionosphere,125,Grouped_Mixed_Bagging,0.925952380952381,0.0407854664138725
ionosphere,125,Incremental_Mixed_Bagging,0.9118253968253968,0.0470341057644795
ionosphere,130,Grouped_Mixed_Bagging,0.925952380952381,0.0407854664138725
ionosphere,130,Incremental_Mixed_Bagging,0.9174603174603174,0.0453424027209069
ionosphere,135,Grouped_Mixed_Bagging,0.9174603174603174,0.0432958149110662
ionosphere,135,Incremental_Mixed_Bagging,0.9203174603174602,0.0515909644609263
ionosphere,140,Grouped_Mixed_Bagging,0.9288095238095238,0.0385954265929614
ionosphere,140,Incremental_Mixed_Bagging,0.9288095238095238,0.0489554535506588
ionosphere,145,Grouped_Mixed_Bagging,0.9146031746031744,0.0464512900595724
ionosphere,145,Incremental_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,150,Grouped_Mixed_Bagging,0.9202380952380952,0.0375833666430208
ionosphere,150,Incremental_Mixed_Bagging,0.9288095238095238,0.043039734493557
ionosphere,155,Grouped_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,155,Incremental_Mixed_Bagging,0.9202380952380952,0.044234908559853
ionosphere,160,Grouped_Mixed_Bagging,0.9202380952380952,0.0481615918204723
ionosphere,160,Incremental_Mixed_Bagging,0.9288095238095238,0.0489554535506588
ionosphere,165,Grouped_Mixed_Bagging,0.9173809523809524,0.0493858732298899
ionosphere,165,Incremental_Mixed_Bagging,0.923095238095238,0.052212933993317
ionosphere,170,Grouped_Mixed_Bagging,0.9173809523809524,0.0493858732298899
ionosphere,170,Incremental_Mixed_Bagging,0.9288095238095238,0.043039734493557
ionosphere,175,Grouped_Mixed_Bagging,0.9202380952380952,0.0500094473312132
ionosphere,175,Incremental_Mixed_Bagging,0.9202380952380952,0.0350870852669771
