dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
pima.csv,3,10,base,None,acc,0.6623376623376623,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,10,base,None,f1,0.6649218128809966,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,10,base,None,auc,0.6377777777777778,"[array([[36, 14],
       [12, 15]])]"
pima.csv,3,10,wagging,None,acc,0.6753246753246753,"[array([[39, 11],
       [14, 13]])]"
pima.csv,3,10,wagging,None,f1,0.6705036824968293,"[array([[39, 11],
       [14, 13]])]"
pima.csv,3,10,wagging,None,auc,0.6307407407407407,"[array([[39, 11],
       [14, 13]])]"
pima.csv,3,10,AdaBoost,None,acc,0.7012987012987013,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,10,AdaBoost,None,f1,0.7045401695428826,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,10,AdaBoost,None,auc,0.6848148148148149,"[array([[37, 13],
       [10, 17]])]"
pima.csv,3,10,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",acc,0.7272727272727273,"[array([[41,  9],
       [12, 15]])]"
pima.csv,3,10,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",f1,0.6999594838190019,"[array([[39, 11],
       [12, 15]])]"
pima.csv,3,10,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",auc,0.6607407407407406,"[array([[42,  8],
       [14, 13]])]"
pima.csv,3,10,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,0.7272727272727273,"[array([[44,  6],
       [15, 12]])]"
pima.csv,3,10,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",f1,0.7851016907620681,"[array([[45,  5],
       [11, 16]])]"
pima.csv,3,10,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",auc,0.6207407407407407,"[array([[38, 12],
       [14, 13]])]"
pima.csv,4,10,base,None,acc,0.6493506493506493,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,10,base,None,f1,0.6507674144037779,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,10,base,None,auc,0.6192592592592592,"[array([[36, 14],
       [13, 14]])]"
pima.csv,4,10,wagging,None,acc,0.7142857142857143,"[array([[43,  7],
       [15, 12]])]"
