Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
ionosphere,6,1,N2,0.931979949874687,0.931587301587302,0.004937919355964,0.932 (0.005)
ionosphere,6,1,TD_U,0.931370091896408,0.931507936507936,0.003596117106927,0.931 (0.004)
ionosphere,8,2,kDN,0.926315789473684,0.925873015873016,0.0019430160303271,0.926 (0.002)
liver-disorders,6,2,CLD,0.755764411027569,0.75952380952381,0.0124650124981703,0.756 (0.012)
liver-disorders,6,8,DCP,0.771102756892231,0.767142857142857,0.0121291577786641,0.771 (0.012)
liver-disorders,8,1,F1,0.762380952380952,0.76047619047619,0.0071021769273641,0.762 (0.007)
liver-disorders,10,8,Hostility,0.768020050125313,0.773809523809524,0.0095677072419068,0.768 (0.01)
liver-disorders,10,1,LSC,0.778220551378446,0.780952380952381,0.0054959205312526,0.778 (0.005)
liver-disorders,6,1,N1,0.764185463659148,0.76047619047619,0.0069815632873453,0.764 (0.007)
liver-disorders,6,1,N2,0.766516290726817,0.767142857142857,0.0084411806432528,0.767 (0.008)
liver-disorders,8,4,TD_U,0.761804511278196,0.76,0.0120974656818116,0.762 (0.012)
liver-disorders,8,6,kDN,0.755563909774436,0.76047619047619,0.0119005840622381,0.756 (0.012)
mammographic,6,1,CLD,0.803804692454027,0.804819277108434,0.0039810351432003,0.804 (0.004)
mammographic,2,1,DCP,0.808814204185162,0.807228915662651,0.0048033980632607,0.809 (0.005)
mammographic,10,1,F1,0.800443880786303,0.8,0.0025147915291699,0.8 (0.003)
mammographic,6,1,Hostility,0.803170577045022,0.804819277108434,0.004511785475464,0.803 (0.005)
mammographic,8,1,LSC,0.809384908053266,0.809638554216867,0.0018655881770125,0.809 (0.002)
mammographic,10,1,N1,0.807038681039949,0.807228915662651,0.0030654741826941,0.807 (0.003)
mammographic,10,1,N2,0.808306911857958,0.808433734939759,0.002720709010307,0.808 (0.003)
mammographic,10,2,TD_U,0.797970830691186,0.797590361445783,0.0028695230626159,0.798 (0.003)
mammographic,8,1,kDN,0.804819277108434,0.804819277108434,0.0032872902698282,0.805 (0.003)
musk1,4,4,CLD,0.886534154535274,0.88656914893617,0.0035877667651403,0.887 (0.004)
musk1,10,6,DCP,0.891617674505412,0.89281914893617,0.0055093255070105,0.892 (0.006)
musk1,4,8,F1,0.890098917506532,0.890647163120567,0.0066424023998644,0.89 (0.007)
musk1,10,8,Hostility,0.889002426278462,0.888696808510638,0.0060095422955034,0.889 (0.006)
musk1,6,2,LSC,0.889755972377753,0.892730496453901,0.0077088431735575,0.89 (0.008)
musk1,6,8,N1,0.883121033967898,0.882313829787234,0.0066492575924963,0.883 (0.007)
musk1,8,4,N2,0.889436356849571,0.890780141843972,0.0073375224073821,0.889 (0.007)
musk1,8,8,TD_U,0.887180384471818,0.890691489361702,0.0069172386418442,0.887 (0.007)
musk1,2,1,kDN,0.883578294139604,0.8864804964539,0.0072910546427626,0.884 (0.007)
parkinsons,10,8,CLD,0.904570637119114,0.903157894736842,0.0037125171200335,0.905 (0.004)
parkinsons,6,8,DCP,0.908047091412742,0.908684210526316,0.0047960206758765,0.908 (0.005)
parkinsons,4,4,F1,0.907590027700831,0.908421052631579,0.0035385394731104,0.908 (0.004)
parkinsons,2,6,Hostility,0.904709141274238,0.903421052631579,0.0055088101580149,0.905 (0.006)
parkinsons,2,6,LSC,0.905927977839335,0.908684210526316,0.0052061003863825,0.906 (0.005)
parkinsons,6,2,N1,0.909279778393352,0.908421052631579,0.0062986134044882,0.909 (0.006)
parkinsons,10,6,N2,0.905083102493075,0.903421052631579,0.0054527635454879,0.905 (0.005)
parkinsons,10,8,TD_U,0.904556786703601,0.903684210526316,0.0059462120645096,0.905 (0.006)
parkinsons,6,2,kDN,0.905720221606648,0.903421052631579,0.0026342707070597,0.906 (0.003)
phoneme,10,4,CLD,0.912846580406654,0.913771137126036,0.0031050892040146,0.913 (0.003)
phoneme,8,8,DCP,0.910071739216598,0.910626754295886,0.0018698707053305,0.91 (0.002)
phoneme,8,4,F1,0.912612103785856,0.91303176559184,0.0014848709748406,0.913 (0.001)
phoneme,10,4,Hostility,0.91088784036493,0.9113644143219,0.0016784692885468,0.911 (0.002)
phoneme,10,2,LSC,0.910957723946341,0.911736838502088,0.001731392832186,0.911 (0.002)
phoneme,4,8,N1,0.91071231168906,0.910995070856439,0.0019694871095714,0.911 (0.002)
phoneme,6,4,N2,0.909709494006118,0.910440884507428,0.0023597611577638,0.91 (0.002)
phoneme,4,4,TD_U,0.911473878781983,0.912106866570822,0.0018500343765852,0.911 (0.002)
phoneme,2,8,kDN,0.910391521008313,0.911549599507086,0.002733576607213,0.91 (0.003)
pima,4,8,CLD,0.765789473684211,0.765567327409433,0.0045235561991894,0.766 (0.005)
pima,10,4,DCP,0.773055545562471,0.773444976076555,0.0051345584724919,0.773 (0.005)
pima,2,8,F1,0.767847249703205,0.768233082706767,0.0035066274658139,0.768 (0.004)
pima,6,4,Hostility,0.765194985070331,0.763004101161996,0.0056311452118646,0.765 (0.006)
pima,4,2,LSC,0.76445209914739,0.76431989063568,0.0031009523701495,0.764 (0.003)
pima,2,8,N1,0.764679641687952,0.764354066985646,0.003159348796072,0.765 (0.003)
pima,8,4,N2,0.763183077310501,0.763055365686945,0.0048850379482719,0.763 (0.005)
pima,6,6,TD_U,0.769077598301975,0.769531784005468,0.0028209369636386,0.769 (0.003)
pima,4,2,kDN,0.765610497535705,0.765635680109364,0.0026412664133605,0.766 (0.003)
profb,2,6,CLD,0.681163070098424,0.680092186128183,0.0067574791111342,0.681 (0.007)
profb,2,4,DCP,0.67916685920244,0.680048287971905,0.0068183533960441,0.679 (0.007)
profb,6,6,F1,0.67775403169909,0.683011413520632,0.0125267768130628,0.678 (0.013)
profb,10,2,Hostility,0.68161129337831,0.680070237050044,0.007261919125125,0.682 (0.007)
profb,2,6,LSC,0.679915438288434,0.682923617208077,0.0103819873644657,0.68 (0.01)
profb,2,1,N1,0.679363245691049,0.678380158033363,0.0053300397606754,0.679 (0.005)
profb,6,8,N2,0.67161753153736,0.672541703248464,0.004800451199347,0.672 (0.005)
profb,4,6,TD_U,0.674332285938727,0.674100087796313,0.0043955632295024,0.674 (0.004)
profb,2,2,kDN,0.67556721038769,0.676953467954346,0.0088086270748316,0.676 (0.009)
ring,8,1,CLD,0.949089615931721,0.95,0.0031588886399269,0.949 (0.003)
ring,6,8,DCP,0.947802275960171,0.948513513513513,0.0024021480227265,0.948 (0.002)
ring,6,1,F1,0.948805120910384,0.94972972972973,0.0027448896514641,0.949 (0.003)
ring,4,1,Hostility,0.947019914651494,0.947162162162162,0.0013198072780286,0.947 (0.001)
ring,8,1,LSC,0.954039829302987,0.955,0.0022350218101321,0.954 (0.002)
ring,6,1,N1,0.947190611664296,0.948243243243243,0.002149729149898,0.947 (0.002)
