dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
bands.csv,7,2,AdaBoost,None,acc,0.6666666666666666,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,7,2,AdaBoost,None,f1,0.6666666666666665,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,7,2,AdaBoost,None,auc,0.6387959866220735,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,7,2,Grouped_Mixed_Bagging,"[[0.2, 0.4, 0.4], 1.0]",acc,0.5277777777777778,"[array([[18,  5],
       [12,  1]])]"
bands.csv,7,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 2.0]",f1,0.7413487133984028,"[array([[20,  3],
       [ 6,  7]])]"
bands.csv,7,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 2.0]",auc,0.5183946488294314,"[array([[15,  8],
       [ 8,  5]])]"
bands.csv,7,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",acc,0.5833333333333334,"[array([[19,  4],
       [11,  2]])]"
bands.csv,7,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",f1,0.6583360918018317,"[array([[21,  2],
       [ 9,  4]])]"
bands.csv,7,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",auc,0.6488294314381271,"[array([[21,  2],
       [ 8,  5]])]"
bands.csv,8,2,base,None,acc,0.6944444444444444,"[array([[19,  4],
       [ 7,  6]])]"
bands.csv,8,2,base,None,f1,0.683870649709159,"[array([[19,  4],
       [ 7,  6]])]"
bands.csv,8,2,base,None,auc,0.6438127090301003,"[array([[19,  4],
       [ 7,  6]])]"
bands.csv,8,2,wagging,None,acc,0.6666666666666666,"[array([[20,  3],
       [ 9,  4]])]"
bands.csv,8,2,wagging,None,f1,0.6358974358974359,"[array([[20,  3],
       [ 9,  4]])]"
bands.csv,8,2,wagging,None,auc,0.588628762541806,"[array([[20,  3],
       [ 9,  4]])]"
bands.csv,8,2,AdaBoost,None,acc,0.7777777777777778,"[array([[20,  3],
       [ 5,  8]])]"
bands.csv,8,2,AdaBoost,None,f1,0.7731481481481481,"[array([[20,  3],
       [ 5,  8]])]"
bands.csv,8,2,AdaBoost,None,auc,0.7424749163879598,"[array([[20,  3],
       [ 5,  8]])]"
bands.csv,8,2,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",acc,0.6111111111111112,"[array([[18,  5],
       [ 9,  4]])]"
bands.csv,8,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",f1,0.683870649709159,"[array([[19,  4],
       [ 7,  6]])]"
bands.csv,8,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.5903010033444817,"[array([[13, 10],
       [ 5,  8]])]"
bands.csv,8,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.6388888888888888,"[array([[19,  4],
       [ 9,  4]])]"
bands.csv,8,2,Incremental_Mixed_Bagging,"[[-2.0, 3.0]]",f1,0.6496969696969698,"[array([[19,  4],
       [ 8,  5]])]"
bands.csv,8,2,Incremental_Mixed_Bagging,"[[-2.0, 3.0]]",auc,0.5668896321070234,"[array([[19,  4],
       [ 9,  4]])]"
bands.csv,9,2,base,None,acc,0.6111111111111112,"[array([[17,  6],
       [ 8,  5]])]"
bands.csv,9,2,base,None,f1,0.6030092592592593,"[array([[17,  6],
       [ 8,  5]])]"
bands.csv,9,2,base,None,auc,0.5618729096989966,"[array([[17,  6],
       [ 8,  5]])]"
bands.csv,9,2,wagging,None,acc,0.7222222222222222,"[array([[21,  2],
       [ 8,  5]])]"
bands.csv,9,2,wagging,None,f1,0.6965811965811964,"[array([[21,  2],
       [ 8,  5]])]"
bands.csv,9,2,wagging,None,auc,0.6488294314381271,"[array([[21,  2],
       [ 8,  5]])]"
bands.csv,9,2,AdaBoost,None,acc,0.6111111111111112,"[array([[19,  4],
       [10,  3]])]"
bands.csv,9,2,AdaBoost,None,f1,0.5752136752136753,"[array([[19,  4],
       [10,  3]])]"
bands.csv,9,2,AdaBoost,None,auc,0.5284280936454849,"[array([[19,  4],
       [10,  3]])]"
bands.csv,9,2,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 3.0]",acc,0.7222222222222222,"[array([[23,  0],
       [10,  3]])]"
bands.csv,9,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 1.0]",f1,0.6355082742316784,"[array([[17,  6],
       [ 7,  6]])]"
bands.csv,9,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 1.0]",auc,0.6387959866220735,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,9,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",acc,0.7222222222222222,"[array([[22,  1],
       [ 9,  4]])]"
bands.csv,9,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.638562091503268,"[array([[22,  1],
       [10,  3]])]"
bands.csv,9,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.451505016722408,"[array([[19,  4],
       [12,  1]])]"
bands.csv,0,10,base,None,acc,0.7027027027027027,"[array([[15,  8],
       [ 3, 11]])]"
bands.csv,0,10,base,None,f1,0.7070973412436827,"[array([[15,  8],
       [ 3, 11]])]"
bands.csv,0,10,base,None,auc,0.718944099378882,"[array([[15,  8],
       [ 3, 11]])]"
bands.csv,0,10,wagging,None,acc,0.7567567567567568,"[array([[21,  2],
       [ 7,  7]])]"
bands.csv,0,10,wagging,None,f1,0.7422409621898112,"[array([[21,  2],
       [ 7,  7]])]"
bands.csv,0,10,wagging,None,auc,0.7065217391304348,"[array([[21,  2],
       [ 7,  7]])]"
bands.csv,0,10,AdaBoost,None,acc,0.5675675675675675,"[array([[12, 11],
       [ 5,  9]])]"
bands.csv,0,10,AdaBoost,None,f1,0.5732909379968203,"[array([[12, 11],
       [ 5,  9]])]"
bands.csv,0,10,AdaBoost,None,auc,0.5822981366459627,"[array([[12, 11],
       [ 5,  9]])]"
bands.csv,0,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 3.0]",acc,0.6216216216216216,"[array([[18,  5],
       [ 9,  5]])]"
