n_trees,model,accuracy_mean,accuracy_std,Dataset
200,Incremental_Mixed_Bagging,0.8179653679653679,0.0707177451671004,glass1
20,Grouped_Mixed_Bagging,0.9905321062096688,0.0113977307919167,banknote_authentication
20,Incremental_Mixed_Bagging,0.991262033216968,0.010160427008152,banknote_authentication
30,Grouped_Mixed_Bagging,0.9898074685285096,0.0085378910357231,banknote_authentication
30,Incremental_Mixed_Bagging,0.9927165979054268,0.0083980275338154,banknote_authentication
50,Grouped_Mixed_Bagging,0.9905268168835292,0.0097404201075396,banknote_authentication
50,Incremental_Mixed_Bagging,0.9919866708981276,0.00936591660036,banknote_authentication
100,Grouped_Mixed_Bagging,0.9905321062096688,0.0103067239673434,banknote_authentication
100,Incremental_Mixed_Bagging,0.9912567438908284,0.0089470792659831,banknote_authentication
150,Grouped_Mixed_Bagging,0.9897968898762296,0.0104171663583549,banknote_authentication
150,Incremental_Mixed_Bagging,0.9912567438908284,0.0089470792659831,banknote_authentication
200,Grouped_Mixed_Bagging,0.991262033216968,0.0095600430362519,banknote_authentication
200,Incremental_Mixed_Bagging,0.9905268168835292,0.0091124052663589,banknote_authentication
20,Grouped_Mixed_Bagging,0.7594231815708326,0.0357727787593898,yeast1
20,Incremental_Mixed_Bagging,0.7654997279158353,0.0235295740006791,yeast1
30,Grouped_Mixed_Bagging,0.7722519499365137,0.0268160625247639,yeast1
30,Incremental_Mixed_Bagging,0.7641665155087974,0.0222832048095479,yeast1
50,Grouped_Mixed_Bagging,0.7749591873752948,0.0208255962631267,yeast1
50,Incremental_Mixed_Bagging,0.7661799383275893,0.0178457443955729,yeast1
100,Grouped_Mixed_Bagging,0.7668601487393434,0.025335572228392,yeast1
100,Incremental_Mixed_Bagging,0.7715672047886813,0.0201815988114118,yeast1
150,Grouped_Mixed_Bagging,0.7641665155087974,0.0236239604112112,yeast1
150,Incremental_Mixed_Bagging,0.7729185561400327,0.0154699751833199,yeast1
200,Grouped_Mixed_Bagging,0.7648376564483947,0.024588008280461,yeast1
200,Incremental_Mixed_Bagging,0.7769862144023219,0.0269437657530974,yeast1
20,Grouped_Mixed_Bagging,0.7927710843373494,0.0349189801112998,mammographic
20,Incremental_Mixed_Bagging,0.8060240963855423,0.0387086932048883,mammographic
30,Grouped_Mixed_Bagging,0.7951807228915662,0.0376740221672564,mammographic
30,Incremental_Mixed_Bagging,0.8024096385542169,0.0429549942397459,mammographic
50,Grouped_Mixed_Bagging,0.7975903614457831,0.0252725023655458,mammographic
50,Incremental_Mixed_Bagging,0.8,0.0421973511214898,mammographic
100,Grouped_Mixed_Bagging,0.7975903614457831,0.0330197667326818,mammographic
100,Incremental_Mixed_Bagging,0.8048192771084338,0.0388542542086676,mammographic
150,Grouped_Mixed_Bagging,0.7951807228915663,0.0321285140562248,mammographic
