"",y,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,dataset
0,0,0.08902077151335312,0.1341246290801187,0.6672378484557195,0.017108336080887993,0.6185594820609657,0.5503102239007283,0.0,0.6405333333333333,0.3184581274821578,0.11800197823936696,0.34635792002260846,0.9130811078140454,0.7972242725951925,0.002967359050445104,0.9133390273754282,0.6008902077151336,0.6862512363996043,0.7865479723046489,0.9101879327398615,balance-scale
1,1,0.14583333333333334,0.1513888888888889,0.6520931142410016,0.020019129372427974,0.5422979797979798,0.4864267676767677,0.1454005934718101,0.6928000000000001,0.4057532055288509,0.15457175925925926,0.3545593584656085,0.9100246806039488,0.7860734365942699,0.003472222222222222,0.9103370949074073,0.5989583333333334,0.6819444444444445,0.7868055555555555,0.9199074074074074,balance-scale
2,dataset,0.1152,0.14207999999999998,0.6602591549295774,0.018449629629629614,0.5834181818181818,0.5208727272727272,0.0670005934718101,0.6646178133333333,0.3586836994460739,0.13485333333333333,0.35013714285714287,0.911672706155633,0.7920859673659674,0.0032,0.9119557368941641,0.6,0.6842666666666667,0.7866666666666666,0.9146666666666667,balance-scale
0,0,0.0560875512995896,0.12004103967168263,0.6985387107839693,0.1279824839487338,0.2852061754934532,0.7165270177838577,0.0,0.6322012578616353,0.4226725291016881,0.11898654810761515,0.21623296107770346,0.9719759977123742,0.9611333689697195,0.0003419972640218878,0.9719855818444835,0.9953830369357045,0.783447430831809,0.8447872366821426,0.9061270425324763,banana
1,1,0.1452020202020202,0.1473063973063973,0.6782738004414742,0.1575003295732734,0.32186147186147185,0.6985479797979798,0.18741450068399457,0.7011320754716981,0.5201103341290154,0.14457070707070707,0.22449814076640578,0.9711052631578947,0.9475268337516032,0.00042087542087542086,0.9711174242424242,0.9955808080808081,0.8131285601027799,0.8560895838214365,0.8990506075400931,banana
2,dataset,0.0960377358490566,0.13226415094339622,0.6894539132417488,0.14121538983626325,0.3016388140161725,0.7084669811320755,0.0840182742689002,0.6631030734543729,0.46635408094035413,0.13045597484276727,0.2199382567268274,0.9715856457687057,0.95503353355873,0.0003773584905660377,0.9715963851534472,0.9954716981132076,0.7967535370861157,0.8498541002298714,0.9029546633736267,banana
0,0,0.19130434782608696,0.2982608695652174,0.5531772575250836,0.36986301369863017,0.6007905138339921,NaN,0.0,0.5799086757990868,0.35292677959406726,0.1986335403726708,0.39500087195893635,0.9872982722612493,0.7224357744913463,0.004347826086956522,0.9873534971644612,0.7528604118993135,0.0,0.7705695789882961,0.9816498320081574,bands
1,1,0.5259259259259259,0.4888888888888889,0.7492877492877493,0.6301369863013699,0.7016835016835016,NaN,0.4130434782608695,0.7534246575342466,0.6488946070684241,0.40964726631393295,0.47527786918221937,0.991044776119403,0.7173158572238343,0.007407407407407408,0.9911111111111112,0.7454191033138402,0.0,0.7664936460119183,0.975130341125735,bands
2,dataset,0.3150684931506849,0.3687671232876713,0.6257112750263435,0.4661287295927943,0.638107098381071,NaN,0.15276950565812983,0.6440858197285294,0.46239433222156906,0.27667971298108285,0.4246923640826163,0.9886839654690596,0.7205421064608968,0.005479452054794521,0.9887432995830853,0.7501081470800288,0.0,0.7690620421340193,0.9792385134626039,bands
0,0,0.0,0.004724409448818898,0.36683435403907844,0.003844825088585055,0.6304836895388076,0.6016122984626922,0.0,0.6297376093294461,0.1869993806120057,0.0026246719160104987,0.1047998090574066,0.8427093788046532,0.7733210845818586,0.0013123359580052493,0.842915796942705,0.82250656167979,0.640369474346824,0.77984321371589,0.9118756253353757,banknote_authentication
1,1,0.0,0.0,0.5280661809350334,0.004802879864757082,0.7004683840749414,0.6231850117096018,0.19947506561679795,0.7035957240038874,0.23413095195051778,0.0019125683060109287,0.10114941789432488,0.8662494279792189,0.8178314822259708,0.001639344262295082,0.8664686912120397,0.8877049180327868,0.6973380640520338,0.8099778754791805,0.9235024867018803,banknote_authentication
