,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme,weights
22,contraceptive_NS,0.6263157894736842,0.3526315789473684,0.5842105263157895,0.9105263157894737,0.5368421052631579,0.8947368421052632,0.47368421052631576,0.9894736842105263,0.19473684210526315,0.8368421052631579,0.19473684210526315,0.7894736842105263,0.18421052631578946,0.7,0.4473684210526316,0.8210526315789474,F1
36,teaching_assistant_LM,1.0,0.042105263157894736,0.968421052631579,0.8105263157894737,1.0,0.4368421052631579,0.8789473684210526,0.7,0.4,0.6789473684210526,0.9894736842105263,0.9842105263157894,0.6894736842105263,0.6421052631578947,0.7842105263157895,0.7105263157894737,Hostility
36,teaching_assistant_LM,0.7210526315789474,0.0,0.5894736842105263,0.9157894736842105,0.7631578947368421,0.7894736842105263,0.8842105263157894,0.9842105263157894,0.6421052631578947,0.7736842105263158,0.8421052631578947,0.9105263157894737,0.6368421052631579,0.631578947368421,0.7736842105263158,0.9526315789473684,kDN
36,teaching_assistant_LM,0.25263157894736843,0.6,0.8315789473684211,0.9842105263157894,0.7684210526315789,0.8263157894736842,0.7684210526315789,0.8526315789473684,0.7842105263157895,0.4842105263157895,0.9368421052631579,0.9578947368421052,0.7526315789473684,0.5578947368421052,0.7842105263157895,0.8894736842105263,DCP
36,teaching_assistant_LM,0.5421052631578948,0.0,1.0,0.9894736842105263,0.9894736842105263,0.6684210526315789,0.9526315789473684,0.24736842105263157,0.6578947368421053,0.7157894736842105,0.8052631578947368,0.8315789473684211,1.0,0.3894736842105263,0.868421052631579,0.9157894736842105,TD_U
36,teaching_assistant_LM,0.9421052631578948,0.0,0.7105263157894737,0.7789473684210526,0.9210526315789473,0.9105263157894737,0.9789473684210527,0.7263157894736842,0.9947368421052631,0.6789473684210526,0.7842105263157895,0.7947368421052632,0.8052631578947368,0.7210526315789474,0.8315789473684211,1.0,CLD
36,teaching_assistant_LM,1.0,0.0,0.6052631578947368,0.868421052631579,0.9578947368421052,0.9052631578947369,0.9631578947368421,0.7473684210526316,0.7526315789473684,0.9736842105263158,0.8421052631578947,0.9894736842105263,0.8052631578947368,1.0,0.8210526315789474,0.7842105263157895,N1
36,teaching_assistant_LM,0.0,0.9894736842105263,0.7157894736842105,0.24736842105263157,0.6736842105263158,0.9210526315789473,0.7052631578947368,0.6684210526315789,0.5631578947368421,0.6368421052631579,0.6684210526315789,0.7052631578947368,0.5157894736842106,0.3,0.8526315789473684,0.6157894736842106,N2
36,teaching_assistant_LM,0.7789473684210526,0.03684210526315789,0.9157894736842105,0.9315789473684211,0.6578947368421053,0.7736842105263158,0.7315789473684211,0.8789473684210526,0.7947368421052632,0.9263157894736842,0.8157894736842105,0.8157894736842105,0.8894736842105263,0.6105263157894737,0.5631578947368421,0.7947368421052632,LSC
36,teaching_assistant_LM,0.9263157894736842,0.0,0.7578947368421053,0.9842105263157894,0.25263157894736843,0.9368421052631579,0.9789473684210527,0.7684210526315789,0.6368421052631579,0.7947368421052632,0.9315789473684211,0.9421052631578948,0.9894736842105263,0.7052631578947368,0.9473684210526315,0.9473684210526315,F1
20,contraceptive_LS,0.9842105263157894,0.0,0.7421052631578947,0.6894736842105263,0.6684210526315789,0.5578947368421052,0.5210526315789473,0.4368421052631579,0.4,0.6263157894736842,0.5578947368421052,0.7736842105263158,0.3157894736842105,0.6894736842105263,0.15263157894736842,0.5736842105263158,Hostility
20,contraceptive_LS,0.9947368421052631,0.0,0.9368421052631579,0.9052631578947369,0.8315789473684211,0.1736842105263158,0.868421052631579,0.8789473684210526,0.42105263157894735,0.2789473684210526,0.43157894736842106,0.8947368421052632,0.2736842105263158,0.4,0.8263157894736842,0.3894736842105263,kDN
20,contraceptive_LS,1.0,0.0,0.9526315789473684,0.9263157894736842,0.9789473684210527,0.4368421052631579,0.8578947368421053,0.9,0.9789473684210527,0.11578947368421053,0.9368421052631579,0.5368421052631579,0.8210526315789474,0.6947368421052632,0.6473684210526316,0.6052631578947368,DCP
20,contraceptive_LS,1.0,0.05263157894736842,0.7,0.6421052631578947,0.43157894736842106,0.3631578947368421,0.5263157894736842,0.23157894736842105,0.005263157894736842,0.29473684210526313,0.6263157894736842,0.5473684210526316,0.43157894736842106,0.2736842105263158,0.5263157894736842,0.1631578947368421,TD_U
20,contraceptive_LS,0.9315789473684211,0.0,0.7578947368421053,0.9315789473684211,0.3631578947368421,0.8157894736842105,0.8578947368421053,0.41578947368421054,0.4263157894736842,0.3473684210526316,0.8578947368421053,0.7578947368421053,0.7263157894736842,0.1736842105263158,0.6894736842105263,0.46842105263157896,CLD
20,contraceptive_LS,0.9105263157894737,0.0,0.7263157894736842,0.9736842105263158,0.7947368421052632,0.9263157894736842,0.8157894736842105,0.9789473684210527,0.6421052631578947,0.7368421052631579,0.5842105263157895,0.631578947368421,0.5842105263157895,0.8736842105263158,0.6210526315789474,0.868421052631579,N1
