y,dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
dataset,WineQualityRed_5vs6,0.238817285822593,0.353297952994693,0.697413865723191,0.434605124471898,0.526071940021902,1,0.0305419827017086,0.666312403446987,0.439801261869513,0.349711180909058,0.311649367832998,0.994867084292165,0.863843850495498,0.00151630022744503,0.994874839411051,0.982080088221104,0.687071660682237,0.804350392216013,0.961776890437682
0,Yeast_CYTvsNUC,0.280777537796976,0.367602591792657,0.739216291268127,0.434609193528669,0.576313894888409,1,0,0.653961136023916,0.495615014359857,0.393952483801296,0.413071583661829,0.995488672594504,0.919016087104366,0.00215982721382289,0.995498416282205,0.73488120950324,0,0.71274637380369,0.953111618358468
1,Yeast_CYTvsNUC,0.391608391608392,0.463869463869464,0.726939726939727,0.469053744997141,0.526159026159026,1,0.0734341252699784,0.679372197309417,0.503792590768811,0.435625485625486,0.476345649947368,0.99645448009934,0.898945883640052,0.00233100233100233,0.996462744714493,0.739219114219114,0,0.715869810739491,0.95005547700034
dataset,Yeast_CYTvsNUC,0.334080717488789,0.41390134529148,0.73331197950032,0.451175014806667,0.552192326856004,1,0.0353175333417273,0.666182375139925,0.499547951892863,0.413994768310912,0.443502720922475,0.995953169701651,0.909363489249892,0.00224215246636771,0.99596220204168,0.736967488789238,0,0.714248564886043,0.951641792525916
0,appendicitis,0.0588235294117647,0.138823529411765,0.350065359477124,0.121643793009603,0.645378151260504,1,0,0.465408805031446,0.136515000121262,0.100980392156863,0.353896802778824,0.877310924369748,0.817788268586069,0.0117647058823529,0.878754325259516,0.843697478991597,0.620478026091051,0.804598686428054,0.943876951983176
1,appendicitis,0.333333333333333,0.428571428571429,0.826455026455026,0.492367733610298,0.612244897959184,1,0.752941176470588,0.867924528301887,0.550182343215969,0.438095238095238,0.482542272261086,0.873809523809524,0.867912475399607,0.0476190476190476,0.879818594104308,0.857142857142857,0.682795195187524,0.760266034955844,0.87033442173743
dataset,appendicitis,0.113207547169811,0.19622641509434,0.444444444444444,0.195089101996533,0.638814016172507,1,0.149167591564928,0.545152486056722,0.21846796431927,0.167767295597484,0.379383169374367,0.876617250673855,0.827718535973657,0.0188679245283019,0.87896517097405,0.846361185983827,0.632823880346013,0.795815802645824,0.929307205425056
0,arrhythmia_cfs,0.142857142857143,0.161632653061224,0.305291457900525,0.1633514989893,0.8139146567718,0.922448979591837,0,0.638643067846608,0.298118736165748,0.239964366699061,0.46190994948522,0.975041820006691,0.685804397977874,0.00408163265306122,0.975143690129113,0.76988416988417,0.661709575116619,0.815772978064492,0.991129386221635
1,arrhythmia_cfs,0.280193236714976,0.49951690821256,0.891347739304001,0.193338730687819,0.287000439174352,0.419753086419753,0.155102040816327,0.694690265486726,0.371484425294844,0.407648953301127,0.483443690726302,0.989845692040711,0.750224923821408,0.00483091787439613,0.989894746668534,0.716673194934065,0.53559427745651,0.785533719385156,0.988120993657142
dataset,arrhythmia_cfs,0.20575221238938,0.316371681415929,0.573684489428223,0.177084589612295,0.57260659694288,0.692232055063913,0.0710312443561495,0.664310700394184,0.331717624771329,0.316757971625228,0.471771640717309,0.981821469367404,0.715306718441616,0.00442477876106195,0.981899151862874,0.745515426931356,0.603953233046613,0.801924468005593,0.989751648918869
