,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
2751,0.36641005506375923,0.2,0.9964664310954063,0.19696969696969702,0.40625,0.42857142857142855,0.0,0.6666666666666666,0.14392855014101325,0.3333333333333333,0.4126244693864195,0.9996665555185061,0.9913086475191173,0.0,0.9996666666666667,1.0,0.6856967349529764,0.837997303336871,0.9902978717207654
2752,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.02414887396783716,0.0,0.025324567459406255,0.8012670890296766,0.8348776233629788,0.0,0.8036666666666666,0.5,0.5425607334211973,0.7005542504649579,0.8585477675087185
2753,0.22954730996572004,0.0,0.9816254416961131,0.10169491525423724,0.21875,0.5714285714285714,0.0,0.6666666666666666,0.02797040395431094,0.0,0.2368330736337464,0.9943314438146049,0.9728558736115033,0.0,0.8936666666666666,1.0,0.7079603897591358,0.7395232105435015,0.7710860313278672
2754,0.8257256951312495,0.9,0.9992932862190813,0.7424749163879598,0.40625,1.0,0.0,0.6666666666666666,0.8542882173622259,1.0,0.6641026709369489,1.0,0.9933987711145017,0.0033333333333333335,1.0,1.0,0.7936716659397883,0.8179361419945717,0.8422006180493549
2755,0.20753100730286567,0.1,0.9519434628975265,0.0075987841945288626,0.1875,0.2857142857142857,0.0,0.6666666666666666,0.026547255739651887,0.0,0.23361267292961085,0.9973324441480493,0.976952442644143,0.0,0.9643333333333334,1.0,0.7070249800608308,0.7739248609680265,0.840824741875222
2756,0.0,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148893871574484,0.0,0.04976286426557064,0.8199399799933311,0.8626658606425631,0.0,0.7856666666666667,0.5,0.5745383865088464,0.7017494019028977,0.828960417296949
2757,0.062382297551789145,0.0,0.9879858657243816,0.0075987841945288626,0.28125,0.2857142857142857,0.0,0.6666666666666666,0.024151580089802782,0.0,0.16154138351241631,0.9619873291097032,0.8472266676407825,0.0,0.9506666666666667,0.5,0.6237779340493137,0.6965159944503058,0.7692540548512978
2758,0.5375972692656793,0.4,0.9971731448763251,0.5964912280701755,0.5,0.8571428571428571,0.0,0.6666666666666666,0.5056364642148202,0.5,0.45364111789811135,0.9996665555185061,0.9950533509341996,0.0,0.9993333333333333,1.0,0.8271804688313829,0.8968226180455334,0.9664647672596839
2759,0.3487045537269864,0.4,0.9992932862190813,0.679144385026738,0.46875,0.8571428571428571,0.0,0.6666666666666666,0.25401996951464234,1.0,0.8102189290330857,1.0,0.9977934137141241,0.0003333333333333333,1.0,1.0,0.7973042180141765,0.8518798211406807,0.906455424267185
2760,0.7730956352787512,0.9,0.9985865724381625,0.8964851293935883,0.625,1.0,0.0,0.6666666666666666,0.9057382755824173,0.5,0.11311748228482099,0.9996665555185061,0.9986612111883068,0.006,0.9996666666666667,1.0,0.9472849886625649,0.9491162899651728,0.9509475912677807
2761,0.062382297551789145,0.0,0.8671378091872791,0.0075987841945288626,0.1875,0.2857142857142857,0.0,0.6666666666666666,0.024160660888466134,0.0,0.07910592055844246,0.905301767255752,0.8729273816209664,0.0,0.8866666666666667,1.0,0.6769986529248301,0.7078482883104025,0.7386979236959749
2762,0.7659454835513936,1.0,1.0,0.8964851293935883,0.6875,1.0,0.0,0.6666666666666666,0.920343761015525,1.0,0.8764181399283835,1.0,0.9987525366716361,0.005,1.0,1.0,0.9048948147856513,0.9427133293268852,0.9805318438681191
2763,0.380976502040242,0.1,0.9830388692579506,0.14084507042253525,0.1875,0.2857142857142857,0.0,0.6666666666666666,0.13461570055477512,0.0,0.06432019413022372,0.9976658886295432,0.9708374239025792,0.0,0.9986666666666667,1.0,0.750145481216202,0.8045714964638908,0.8589975117115797
2764,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148873890060485,0.0,0.01778623143252045,0.7535845281760587,0.8048304779367236,0.0,0.815,0.5,0.515580520790332,0.6832241008650863,0.8508676809398408
2765,0.4218855929493329,0.4,0.9830388692579506,0.14084507042253525,0.1875,0.2857142857142857,0.0,0.6666666666666666,0.20742823217714945,0.3333333333333333,0.5760271220843622,1.0,0.9898220801029162,0.0003333333333333333,0.9983333333333333,1.0,0.7565294957777341,0.8543087290906921,0.95208796240365
2766,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148900087560543,0.0,0.006985282824064187,0.8216072024008003,0.8067884209072895,0.0,0.8933333333333333,0.5,0.6185343780526108,0.6605119167516549,0.702489455450699
2767,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024152710912777486,0.0,0.04248143199909693,0.8919639879959986,0.8763660411384935,0.0,0.8643333333333334,0.5,0.6441234155548333,0.7139241615755498,0.7837249075962665
2768,0.34090949790561487,0.2,0.9802120141342756,0.0075987841945288626,0.28125,0.2857142857142857,0.0,0.6666666666666666,0.04027511474254142,0.0,0.17191221714197147,0.9976658886295432,0.9824524430440714,0.0,0.9986666666666667,1.0,0.7441938357514835,0.8451344963860845,0.9460751570206856
2769,0.19518245185086192,0.0,0.9469964664310954,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.02751759571557566,0.0,0.25508324793106085,0.9946648882960987,0.9798775232213492,0.0,0.935,1.0,0.7251584161278913,0.7563459753164901,0.7875335345050888
