,n_ensemble,weights,accuracy_mean_split1,accuracy_std_split1,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split1_extreme,accuracy_std_split1_extreme,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4_extreme,accuracy_std_split4_extreme
1006,100,N2,0.8225806451612904,0.0483870967741935,0.8258064516129032,0.0349669086914174,0.8258064516129032,0.0489217770583971,0.8290322580645162,0.0292998421364273,0.8258064516129032,0.0210296851780731,0.8419354838709678,0.0447562481468116
1506,150,N2,0.8193548387096774,0.0447562481468116,0.8129032258064516,0.0565667029572586,0.8193548387096774,0.0502335854916046,0.8258064516129032,0.0310248130026957,0.8290322580645162,0.0183899262112764,0.829032258064516,0.0388438534799751
1996,199,N2,0.8193548387096774,0.0417489648565961,0.8096774193548388,0.043278735048383,0.8193548387096774,0.0527594426896649,0.8258064516129032,0.0310248130026957,0.832258064516129,0.0292998421364273,0.8258064516129032,0.0349669086914174
157,15,TD_U,0.8193548387096774,0.0349669086914174,0.8548387096774194,0.0301746563449511,0.8451612903225806,0.0088342347984704,0.8258064516129032,0.0447562481468116,0.835483870967742,0.0288524900322553,0.835483870967742,0.0349669086914174
507,50,TD_U,0.832258064516129,0.0404835496710036,0.8483870967741935,0.0420593703561461,0.8419354838709678,0.0349669086914174,0.8258064516129032,0.0330546798901922,0.8483870967741935,0.0464672912609288,0.8290322580645162,0.0314412720800289
1007,100,TD_U,0.8290322580645162,0.0435782454390525,0.8516129032258064,0.0447562481468116,0.8580645161290322,0.0401609664451249,0.8451612903225806,0.0334458731505286,0.8451612903225806,0.0420593703561461,0.8258064516129032,0.0265027043954112
1507,150,TD_U,0.8290322580645162,0.0388438534799751,0.8483870967741935,0.0478464418522301,0.8419354838709678,0.0265027043954112,0.8290322580645162,0.0371318207523269,0.8451612903225806,0.0420593703561461,0.8387096774193548,0.032258064516129
1997,199,TD_U,0.832258064516129,0.0404835496710036,0.8419354838709678,0.0367798524225528,0.8387096774193548,0.0255022391949063,0.8419354838709678,0.0349669086914174,0.835483870967742,0.0417489648565961,0.832258064516129,0.0314412720800289
158,15,Uniform,0.8258064516129032,0.0310248130026957,0.835483870967742,0.0417489648565961,0.8225806451612904,0.0360656125403191,0.8193548387096774,0.043278735048383,0.8387096774193548,0.0411211251096192,0.8225806451612904,0.0255022391949063
508,50,Uniform,0.8129032258064516,0.0334458731505286,0.832258064516129,0.0371318207523269,0.8225806451612904,0.0378259335469631,0.8258064516129032,0.043278735048383,0.8193548387096774,0.0401609664451249,0.8161290322580644,0.0353369391938817
1008,100,Uniform,0.8225806451612904,0.0470238056035911,0.829032258064516,0.0450459356250611,0.8290322580645162,0.0371318207523269,0.829032258064516,0.0388438534799751,0.8290322580645162,0.0420593703561461,0.8225806451612904,0.0441711739923521
1508,150,Uniform,0.8225806451612904,0.0470238056035911,0.8258064516129032,0.0310248130026957,0.8290322580645162,0.0371318207523269,0.8258064516129032,0.0489217770583971,0.8225806451612904,0.0378259335469631,0.8290322580645162,0.0435782454390526
1998,199,Uniform,0.8193548387096774,0.0417489648565961,0.832258064516129,0.0371318207523269,0.829032258064516,0.0404835496710036,0.8387096774193548,0.0411211251096192,0.8225806451612904,0.0441711739923521,0.8290322580645162,0.0478464418522301
159,15,kDN,0.835483870967742,0.0447562481468116,0.8193548387096774,0.0401609664451249,0.8193548387096774,0.0210296851780731,0.8129032258064516,0.0530054087908225,0.8064516129032258,0.0534939482315387,0.8161290322580644,0.0464672912609288
509,50,kDN,0.832258064516129,0.0334458731505286,0.8193548387096774,0.0574791280038886,0.8064516129032258,0.039507899077148,0.832258064516129,0.0491869376837964,0.8129032258064516,0.0404835496710037,0.8225806451612904,0.039507899077148
1009,100,kDN,0.8258064516129032,0.0417489648565961,0.8225806451612904,0.0441711739923521,0.8161290322580644,0.0450459356250611,0.8225806451612904,0.0441711739923521,0.8161290322580644,0.0450459356250611,0.8290322580645162,0.0371318207523269
1509,150,kDN,0.8193548387096774,0.0401609664451249,0.8225806451612904,0.0378259335469631,0.8064516129032258,0.0522640378903859,0.8225806451612904,0.0426734082429772,0.8290322580645162,0.0517638920512297,0.8225806451612904,0.034214844250962
1999,199,kDN,0.8161290322580644,0.0435782454390525,0.8225806451612904,0.0378259335469631,0.8161290322580644,0.0588212339639047,0.8258064516129032,0.041748964856596,0.8225806451612904,0.0378259335469631,0.8225806451612904,0.034214844250962
